month,day,sunrise,sunset
8,27,06:22,19:58
8,28,06:23,19:56
8,29,06:24,19:54
8,30,06:26,19:52
8,31,06:27,19:51
9,1,06:28,19:49
9,2,06:30,19:47
9,3,06:31,19:45
9,4,06:32,19:43
9,5,06:34,19:41
9,6,06:35,19:39
9,7,06:36,19:37
9,8,06:38,19:34
9,9,06:39,19:32
9,10,06:40,19:30
9,11,06:42,19:28
9,12,06:43,19:26
9,13,06:44,19:24
9,14,06:46,19:22
9,15,06:47,19:20
9,16,06:48,19:18
9,17,06:50,19:16
9,18,06:51,19:14
9,19,06:52,19:12
9,20,06:54,19:10
9,21,06:55,19:08
9,22,06:56,19:06
9,23,06:58,19:04
9,24,06:59,19:02
9,25,07:00,19:00
9,26,07:02,18:58
9,27,07:03,18:56
9,28,07:05,18:54
9,29,07:06,18:52
9,30,07:07,18:49
10,1,07:09,18:47
10,2,07:10,18:45
10,3,07:11,18:43
10,4,07:13,18:41
10,5,07:14,18:39
10,6,07:16,18:37
10,7,07:17,18:35
10,8,07:18,18:34
10,9,07:20,18:32
10,10,07:21,18:30
10,11,07:23,18:28
10,12,07:24,18:26
10,13,07:26,18:24
10,14,07:27,18:22
10,15,07:28,18:20
10,16,07:30,18:18
10,17,07:31,18:16
10,18,07:33,18:14
10,19,07:34,18:13
10,20,07:36,18:11
10,21,07:37,18:09
10,22,07:39,18:07
10,23,07:40,18:06
10,24,07:42,18:04
10,25,07:43,18:02
10,26,07:45,18:00
10,27,07:46,17:59
10,28,07:48,17:57
10,29,07:49,17:56
10,30,07:51,17:54
10,31,07:52,17:52
11,1,07:54,17:51
11,2,07:55,17:49
11,3,07:57,17:48
11,4,07:58,17:46
11,5,08:00,17:45
11,6,08:01,17:43
11,7,08:03,17:42
11,8,08:04,17:41
11,9,08:06,17:39
11,10,08:07,17:38
11,11,08:09,17:37
11,12,08:10,17:36
11,13,08:12,17:34
11,14,08:13,17:33
11,15,08:15,17:32
11,16,08:16,17:31
11,17,08:18,17:30
11,18,08:19,17:29
11,19,08:21,17:28
11,20,08:22,17:27
11,21,08:24,17:26
11,22,08:25,17:25
11,23,08:26,17:24
11,24,08:28,17:24
11,25,08:29,17:23
11,26,08:30,17:22
11,27,08:32,17:22
11,28,08:33,17:21
11,29,08:34,17:20
11,30,08:36,17:20
12,1,08:37,17:19
12,2,08:38,17:19
12,3,08:39,17:19
12,4,08:40,17:18
12,5,08:41,17:18
12,6,08:43,17:18
12,7,08:44,17:18
12,8,08:45,17:17
12,9,08:46,17:17
12,10,08:47,17:17
12,11,08:47,17:17
12,12,08:48,17:17
12,13,08:49,17:18
12,14,08:50,17:18
12,15,08:51,17:18
12,16,08:52,17:18
12,17,08:52,17:18
12,18,08:53,17:19
12,19,08:53,17:19
12,20,08:54,17:20
12,21,08:55,17:20
12,22,08:55,17:21
12,23,08:55,17:21
12,24,08:56,17:22
12,25,08:56,17:23
12,26,08:56,17:23
12,27,08:57,17:24
12,28,08:57,17:25
12,29,08:57,17:26
12,30,08:57,17:27
12,31,08:57,17:27
